geo\time,2003,2004,2005,2006,2007,2008,2009,2010,2011
EU (27 countries),NA,NA,79070,80218,80618,80660,80174,80751,NA
Euro area (17 countries),NA,NA,48368,49362,52213,51193,51506,52324,NA
Euro area (16 countries),NA,NA,48123,49119,51953,50934,51243,52114,NA
Belgium,1577,1492,1537,1531,1590,1554,1549,1566,NA
Bulgaria,NA,NA,NA,1417,1691,1632,1657,1565,NA
Czech Republic,NA,NA,1049,1001,980,925,885,936,1022
Denmark,620,583,632,628,627,643,716,728,NA
Germany,NA,NA,9960,10232,12371,12389,12590,12648,NA
Estonia,NA,271,245,244,258,259,262,211,NA
Ireland,821,848,819,787,751,686,670,716,NA
Greece,2186,2113,2092,2207,2191,2187,2149,2205,NA
Spain,NA,8373,8439,8692,8756,8862,8885,9487,NA
France,NA,7887,7678,7812,7874,7626,7820,8099,NA
Italy,NA,11081,11014,11548,11765,11149,11077,10938,NA
Cyprus,NA,NA,120,119,120,123,121,126,NA
Latvia,NA,NA,427,520,472,573,573,474,425
Lithuania,NA,NA,701,678,644,671,687,672,NA
Luxembourg,53,57,61,64,62,62,71,71,NA
Hungary,NA,NA,1342,1578,1221,1226,1229,1211,NA
Malta,NA,NA,55,56,60,61,62,64,NA
Netherlands,NA,NA,1741,1582,1650,1713,1816,1694,NA
Austria,1046,1029,1005,1027,986,1018,993,1004,NA
Poland,NA,NA,7756,7215,6540,6353,6435,6588,NA
Portugal,NA,2142,2042,1950,1918,1967,1898,1903,NA
Romania,NA,NA,NA,NA,5347,4988,4745,4522,4748
Slovenia,NA,NA,238,233,225,241,223,254,273
Slovakia,NA,NA,718,628,573,588,594,651,NA
Finland,NA,564,603,650,676,709,725,692,725
Sweden,NA,1018,874,1125,959,1121,1215,1212,NA
United Kingdom,NA,NA,11157,11346,11138,11335,10526,10519,NA
Iceland,NA,28,28,28,30,31,31,30,NA
Norway,491,495,525,570,550,534,556,538,NA
Switzerland,NA,NA,NA,NA,NA,1197,1130,1130,NA
