geo\time,2004,2005,2006,2007,2008,2009,2010,2011
EU (27 countries),NA,"10,3","10,5","9,6",9,9,10,NA
Euro area (17 countries),NA,"9,6","10,1","9,6","9,1","8,9","10,1",NA
Euro area (16 countries),NA,"9,6","10,2","9,6","9,1","8,9","10,1",NA
Belgium,"14,7","15,1","14,3","13,8","11,7","12,3","12,6",NA
Bulgaria,NA,NA,"14,7","15,9","8,1","6,9","7,9",NA
Czech Republic,NA,"8,8","8,9","8,6","7,2",6,"6,4",NA
Denmark,"9,1","9,9","9,3","9,9","8,3","8,5","10,3",NA
Germany,NA,"11,9","13,5","11,4","11,6","10,8","11,1",NA
Estonia,"9,6","9,4",7,"6,2","5,3","5,6","8,9",NA
Ireland,"12,8","14,6","12,8","14,2","13,6","19,8","22,9",NA
Greece,"7,4","7,5",8,8,"7,4","6,5","7,5",NA
Spain,"7,2","6,5",6,"6,3","6,2",7,"9,8",NA
France,"10,2","8,6","9,1","9,5","8,8","8,3","9,8",NA
Italy,12,"10,3","10,8",10,"9,8","8,8","10,2",NA
Cyprus,NA,"4,4","3,8","3,7","4,2","3,8","4,6",NA
Latvia,NA,"8,1",7,"6,1","5,1","6,7","12,2","12,2"
Lithuania,NA,"9,5","8,3","6,4","5,1","6,9","9,2",NA
Luxembourg,"6,2","5,7","5,2",5,"4,7","6,3","5,5",NA
Hungary,NA,"9,5",13,"11,3",12,"11,3","11,8",NA
Malta,NA,"9,6","9,2","9,2","8,2","8,4","8,4",NA
Netherlands,NA,"9,7","10,7","9,5","8,1","8,3","8,2",NA
Austria,"6,2","6,5",8,"8,1","7,8","7,2","7,7",NA
Poland,NA,"14,2","12,3",10,"7,9","6,9","7,3",NA
Portugal,"6,9","5,9","6,6","7,2","6,3","6,9","8,6",NA
Romania,NA,NA,NA,"8,4","8,2","7,7","6,8",NA
Slovenia,NA,"8,6","6,9","7,2","6,7","5,6","6,9",NA
Slovakia,NA,"6,6","6,2","6,4","5,2","5,6","7,9",NA
Finland,"9,3","9,8","8,9","8,7","7,3","8,2","9,1",NA
Sweden,"8,5","7,5","6,6","5,9","5,4","6,2","5,9",NA
United Kingdom,NA,"12,8",12,"10,3","10,4","12,6","13,1",NA
Iceland,"3,6","3,2","2,8","2,4","2,6","2,1","5,6",NA
Norway,"7,9","8,1","7,1","8,5","6,3","6,8","7,3",NA
Switzerland,NA,NA,NA,NA,"3,3","3,4",4,NA
